Data Atividade,CH,CPF,Nome,Atividade
10/09/2024,3,261.564.103-43,Felipe Almeida,Atividade 4
19/05/2024,2,261.564.103-43,Felipe Almeida,Atividade 2
03/03/2024,"0,5",296.821.171-15,José Pereira,Atividade 1
05/11/2024,"0,5",296.821.171-15,José Pereira,Atividade 5
10/09/2024,3,296.821.171-15,José Pereira,Atividade 4
19/05/2024,2,296.821.171-15,José Pereira,Atividade 2
25/05/2024,"1,5",296.821.171-15,José Pereira,Atividade 3
10/09/2024,3,303.256.482-30,Felipe Pereira,Atividade 4
25/05/2024,"1,5",303.256.482-30,Felipe Pereira,Atividade 3
03/03/2024,"0,5",305.830.419-61,Clara Nascimento,Atividade 1
19/05/2024,2,305.830.419-61,Clara Nascimento,Atividade 2
25/05/2024,"1,5",305.830.419-61,Clara Nascimento,Atividade 3
05/11/2024,"0,5",316.652.873-98,Carlos Pereira,Atividade 5
19/05/2024,2,316.652.873-98,Carlos Pereira,Atividade 2
03/03/2024,"0,5",317.771.611-60,Carlos Pereira,Atividade 1
10/09/2024,3,317.771.611-60,Carlos Pereira,Atividade 4
19/05/2024,2,317.771.611-60,Carlos Pereira,Atividade 2
25/05/2024,"1,5",317.771.611-60,Carlos Pereira,Atividade 3
03/03/2024,"0,5",320.881.444-23,José Pereira,Atividade 1
05/11/2024,"0,5",320.881.444-23,José Pereira,Atividade 5
10/09/2024,3,320.881.444-23,José Pereira,Atividade 4
19/05/2024,2,320.881.444-23,José Pereira,Atividade 2
25/05/2024,"1,5",320.881.444-23,José Pereira,Atividade 3
03/03/2024,"0,5",324.241.621-73,José Santos,Atividade 1
10/09/2024,3,324.241.621-73,José Santos,Atividade 4
19/05/2024,2,324.241.621-73,José Santos,Atividade 2
25/05/2024,"1,5",324.241.621-73,José Santos,Atividade 3
03/03/2024,"0,5",325.107.172-90,Pedro Almeida,Atividade 1
05/11/2024,"0,5",325.107.172-90,Pedro Almeida,Atividade 5
10/09/2024,3,325.107.172-90,Pedro Almeida,Atividade 4
19/05/2024,2,325.107.172-90,Pedro Almeida,Atividade 2
03/03/2024,"0,5",330.165.446-12,Felipe Silva,Atividade 1
19/05/2024,2,330.165.446-12,Felipe Silva,Atividade 2
03/03/2024,"0,5",334.941.132-50,Carlos Silva,Atividade 1
05/11/2024,"0,5",334.941.132-50,Carlos Silva,Atividade 5
10/09/2024,3,334.941.132-50,Carlos Silva,Atividade 4
19/05/2024,2,334.941.132-50,Carlos Silva,Atividade 2
25/05/2024,"1,5",334.941.132-50,Carlos Silva,Atividade 3
03/03/2024,"0,5",345.159.346-82,Mariana Nascimento,Atividade 1
05/11/2024,"0,5",345.159.346-82,Mariana Nascimento,Atividade 5
10/09/2024,3,345.159.346-82,Mariana Nascimento,Atividade 4
19/05/2024,2,345.159.346-82,Mariana Nascimento,Atividade 2
25/05/2024,"1,5",345.159.346-82,Mariana Nascimento,Atividade 3
03/03/2024,"0,5",350.328.242-23,Clara Nascimento,Atividade 1
05/11/2024,"0,5",350.328.242-23,Clara Nascimento,Atividade 5
10/09/2024,3,350.328.242-23,Clara Nascimento,Atividade 4
19/05/2024,2,350.328.242-23,Clara Nascimento,Atividade 2
25/05/2024,"1,5",350.328.242-23,Clara Nascimento,Atividade 3
03/03/2024,"0,5",357.666.981-11,Felipe Oliveira,Atividade 1
05/11/2024,"0,5",357.666.981-11,Felipe Oliveira,Atividade 5
10/09/2024,3,357.666.981-11,Felipe Oliveira,Atividade 4
25/05/2024,"1,5",357.666.981-11,Felipe Oliveira,Atividade 3
03/03/2024,"0,5",384.928.990-10,Mariana Nascimento,Atividade 1
05/11/2024,"0,5",384.928.990-10,Mariana Nascimento,Atividade 5
10/09/2024,3,384.928.990-10,Mariana Nascimento,Atividade 4
19/05/2024,2,384.928.990-10,Mariana Nascimento,Atividade 2
25/05/2024,"1,5",384.928.990-10,Mariana Nascimento,Atividade 3
05/11/2024,"0,5",448.214.400-65,Mateus Nascimento,Atividade 5
10/09/2024,3,448.214.400-65,Mateus Nascimento,Atividade 4
19/05/2024,2,448.214.400-65,Mateus Nascimento,Atividade 2
25/05/2024,"1,5",448.214.400-65,Mateus Nascimento,Atividade 3
03/03/2024,"0,5",463.314.786-44,Pedro Oliveira,Atividade 1
10/09/2024,3,463.314.786-44,Pedro Oliveira,Atividade 4
05/11/2024,"0,5",488.376.755-98,José Oliveira,Atividade 5
10/09/2024,3,488.376.755-98,José Oliveira,Atividade 4
25/05/2024,"1,5",488.376.755-98,José Oliveira,Atividade 3
03/03/2024,"0,5",489.384.564-91,Pedro Silva,Atividade 1
05/11/2024,"0,5",489.384.564-91,Pedro Silva,Atividade 5
10/09/2024,3,489.384.564-91,Pedro Silva,Atividade 4
25/05/2024,"1,5",489.384.564-91,Pedro Silva,Atividade 3
10/09/2024,3,490.710.579-77,Clara Rodrigues,Atividade 4
19/05/2024,2,490.710.579-77,Clara Rodrigues,Atividade 2
25/05/2024,"1,5",490.710.579-77,Clara Rodrigues,Atividade 3
03/03/2024,"0,5",510.374.167-37,Fernanda Almeida,Atividade 1
05/11/2024,"0,5",510.374.167-37,Fernanda Almeida,Atividade 5
10/09/2024,3,510.374.167-37,Fernanda Almeida,Atividade 4
19/05/2024,2,510.374.167-37,Fernanda Almeida,Atividade 2
03/03/2024,"0,5",529.325.559-85,Carlos Almeida,Atividade 1
05/11/2024,"0,5",529.325.559-85,Carlos Almeida,Atividade 5
10/09/2024,3,529.325.559-85,Carlos Almeida,Atividade 4
19/05/2024,2,529.325.559-85,Carlos Almeida,Atividade 2
25/05/2024,"1,5",529.325.559-85,Carlos Almeida,Atividade 3
03/03/2024,"0,5",532.448.384-29,Fernanda Almeida,Atividade 1
05/11/2024,"0,5",532.448.384-29,Fernanda Almeida,Atividade 5
10/09/2024,3,532.448.384-29,Fernanda Almeida,Atividade 4
19/05/2024,2,532.448.384-29,Fernanda Almeida,Atividade 2
25/05/2024,"1,5",532.448.384-29,Fernanda Almeida,Atividade 3
03/03/2024,"0,5",532.710.165-59,Felipe Santos,Atividade 1
05/11/2024,"0,5",532.710.165-59,Felipe Santos,Atividade 5
10/09/2024,3,532.710.165-59,Felipe Santos,Atividade 4
19/05/2024,2,532.710.165-59,Felipe Santos,Atividade 2
25/05/2024,"1,5",532.710.165-59,Felipe Santos,Atividade 3
03/03/2024,"0,5",538.697.508-56,José Almeida,Atividade 1
10/09/2024,3,538.697.508-56,José Almeida,Atividade 4
19/05/2024,2,538.697.508-56,José Almeida,Atividade 2
25/05/2024,"1,5",538.697.508-56,José Almeida,Atividade 3
03/03/2024,"0,5",586.662.269-43,Julia Silva,Atividade 1
05/11/2024,"0,5",586.662.269-43,Julia Silva,Atividade 5
10/09/2024,3,586.662.269-43,Julia Silva,Atividade 4
05/11/2024,"0,5",612.880.282-74,Mateus Costa,Atividade 5
25/05/2024,"1,5",612.880.282-74,Mateus Costa,Atividade 3
03/03/2024,"0,5",629.562.223-41,Felipe Nascimento,Atividade 1
05/11/2024,"0,5",629.562.223-41,Felipe Nascimento,Atividade 5
25/05/2024,"1,5",629.562.223-41,Felipe Nascimento,Atividade 3
03/03/2024,"0,5",640.993.721-64,Julia Pereira,Atividade 1
05/11/2024,"0,5",640.993.721-64,Julia Pereira,Atividade 5
19/05/2024,2,640.993.721-64,Julia Pereira,Atividade 2
25/05/2024,"1,5",640.993.721-64,Julia Pereira,Atividade 3
03/03/2024,"0,5",649.227.487-20,Fernanda Santos,Atividade 1
05/11/2024,"0,5",649.227.487-20,Fernanda Santos,Atividade 5
10/09/2024,3,649.227.487-20,Fernanda Santos,Atividade 4
19/05/2024,2,649.227.487-20,Fernanda Santos,Atividade 2
25/05/2024,"1,5",649.227.487-20,Fernanda Santos,Atividade 3
03/03/2024,"0,5",649.868.373-92,Julia Costa,Atividade 1
05/11/2024,"0,5",649.868.373-92,Julia Costa,Atividade 5
10/09/2024,3,649.868.373-92,Julia Costa,Atividade 4
19/05/2024,2,649.868.373-92,Julia Costa,Atividade 2
25/05/2024,"1,5",649.868.373-92,Julia Costa,Atividade 3
05/11/2024,"0,5",651.369.864-84,Mateus Silva,Atividade 5
10/09/2024,3,651.369.864-84,Mateus Silva,Atividade 4
03/03/2024,"0,5",652.897.643-10,Felipe Almeida,Atividade 1
19/05/2024,2,652.897.643-10,Felipe Almeida,Atividade 2
03/03/2024,"0,5",665.400.949-90,Felipe Silva,Atividade 1
05/11/2024,"0,5",665.400.949-90,Felipe Silva,Atividade 5
10/09/2024,3,665.400.949-90,Felipe Silva,Atividade 4
19/05/2024,2,665.400.949-90,Felipe Silva,Atividade 2
25/05/2024,"1,5",665.400.949-90,Felipe Silva,Atividade 3
03/03/2024,"0,5",670.324.801-51,Mateus Santos,Atividade 1
05/11/2024,"0,5",670.324.801-51,Mateus Santos,Atividade 5
19/05/2024,2,670.324.801-51,Mateus Santos,Atividade 2
05/11/2024,"0,5",680.997.835-50,Clara Pereira,Atividade 5
10/09/2024,3,680.997.835-50,Clara Pereira,Atividade 4
19/05/2024,2,680.997.835-50,Clara Pereira,Atividade 2
25/05/2024,"1,5",680.997.835-50,Clara Pereira,Atividade 3
19/05/2024,2,702.667.335-85,Carlos Costa,Atividade 2
25/05/2024,"1,5",702.667.335-85,Carlos Costa,Atividade 3
03/03/2024,"0,5",704.532.132-13,José Almeida,Atividade 1
05/11/2024,"0,5",704.532.132-13,José Almeida,Atividade 5
10/09/2024,3,704.532.132-13,José Almeida,Atividade 4
19/05/2024,2,704.532.132-13,José Almeida,Atividade 2
25/05/2024,"1,5",704.532.132-13,José Almeida,Atividade 3
05/11/2024,"0,5",713.431.600-12,José Silva,Atividade 5
10/09/2024,3,713.431.600-12,José Silva,Atividade 4
19/05/2024,2,713.431.600-12,José Silva,Atividade 2
03/03/2024,"0,5",716.127.674-35,Mariana Silva,Atividade 1
05/11/2024,"0,5",716.127.674-35,Mariana Silva,Atividade 5
10/09/2024,3,716.127.674-35,Mariana Silva,Atividade 4
19/05/2024,2,716.127.674-35,Mariana Silva,Atividade 2
25/05/2024,"1,5",716.127.674-35,Mariana Silva,Atividade 3
03/03/2024,"0,5",723.750.275-78,Mateus Pereira,Atividade 1
05/11/2024,"0,5",723.750.275-78,Mateus Pereira,Atividade 5
10/09/2024,3,723.750.275-78,Mateus Pereira,Atividade 4
19/05/2024,2,723.750.275-78,Mateus Pereira,Atividade 2
03/03/2024,"0,5",733.982.470-83,Julia Silva,Atividade 1
05/11/2024,"0,5",733.982.470-83,Julia Silva,Atividade 5
10/09/2024,3,733.982.470-83,Julia Silva,Atividade 4
19/05/2024,2,733.982.470-83,Julia Silva,Atividade 2
25/05/2024,"1,5",733.982.470-83,Julia Silva,Atividade 3
03/03/2024,"0,5",754.214.125-45,Pedro Costa,Atividade 1
05/11/2024,"0,5",754.214.125-45,Pedro Costa,Atividade 5
10/09/2024,3,754.214.125-45,Pedro Costa,Atividade 4
19/05/2024,2,754.214.125-45,Pedro Costa,Atividade 2
25/05/2024,"1,5",754.214.125-45,Pedro Costa,Atividade 3
03/03/2024,"0,5",758.569.246-43,Carlos Costa,Atividade 1
05/11/2024,"0,5",758.569.246-43,Carlos Costa,Atividade 5
10/09/2024,3,758.569.246-43,Carlos Costa,Atividade 4
19/05/2024,2,758.569.246-43,Carlos Costa,Atividade 2
25/05/2024,"1,5",758.569.246-43,Carlos Costa,Atividade 3
03/03/2024,"0,5",777.333.891-47,Carlos Silva,Atividade 1
05/11/2024,"0,5",777.333.891-47,Carlos Silva,Atividade 5
10/09/2024,3,777.333.891-47,Carlos Silva,Atividade 4
19/05/2024,2,777.333.891-47,Carlos Silva,Atividade 2
25/05/2024,"1,5",777.333.891-47,Carlos Silva,Atividade 3
19/05/2024,2,787.765.482-66,Julia Pereira,Atividade 2
25/05/2024,"1,5",787.765.482-66,Julia Pereira,Atividade 3
03/03/2024,"0,5",792.858.658-21,Ana Almeida,Atividade 1
05/11/2024,"0,5",792.858.658-21,Ana Almeida,Atividade 5
10/09/2024,3,792.858.658-21,Ana Almeida,Atividade 4
19/05/2024,2,792.858.658-21,Ana Almeida,Atividade 2
25/05/2024,"1,5",792.858.658-21,Ana Almeida,Atividade 3
03/03/2024,"0,5",796.838.217-97,Clara Oliveira,Atividade 1
10/09/2024,3,796.838.217-97,Clara Oliveira,Atividade 4
25/05/2024,"1,5",796.838.217-97,Clara Oliveira,Atividade 3
10/09/2024,3,818.799.763-19,Felipe Santos,Atividade 4
19/05/2024,2,818.799.763-19,Felipe Santos,Atividade 2
03/03/2024,"0,5",833.765.818-79,Clara Silva,Atividade 1
05/11/2024,"0,5",833.765.818-79,Clara Silva,Atividade 5
10/09/2024,3,833.765.818-79,Clara Silva,Atividade 4
19/05/2024,2,833.765.818-79,Clara Silva,Atividade 2
25/05/2024,"1,5",833.765.818-79,Clara Silva,Atividade 3
03/03/2024,"0,5",846.350.267-69,Felipe Costa,Atividade 1
05/11/2024,"0,5",846.350.267-69,Felipe Costa,Atividade 5
19/05/2024,2,846.350.267-69,Felipe Costa,Atividade 2
25/05/2024,"1,5",846.350.267-69,Felipe Costa,Atividade 3
03/03/2024,"0,5",877.925.263-99,Mariana Silva,Atividade 1
05/11/2024,"0,5",877.925.263-99,Mariana Silva,Atividade 5
10/09/2024,3,877.925.263-99,Mariana Silva,Atividade 4
19/05/2024,2,877.925.263-99,Mariana Silva,Atividade 2
25/05/2024,"1,5",877.925.263-99,Mariana Silva,Atividade 3
03/03/2024,"0,5",884.228.231-94,Fernanda Costa,Atividade 1
10/09/2024,3,884.228.231-94,Fernanda Costa,Atividade 4
03/03/2024,"0,5",926.144.847-68,Fernanda Almeida,Atividade 1
05/11/2024,"0,5",926.144.847-68,Fernanda Almeida,Atividade 5
10/09/2024,3,926.144.847-68,Fernanda Almeida,Atividade 4
19/05/2024,2,926.144.847-68,Fernanda Almeida,Atividade 2
25/05/2024,"1,5",926.144.847-68,Fernanda Almeida,Atividade 3
03/03/2024,"0,5",935.170.878-78,Fernanda Rodrigues,Atividade 1
05/11/2024,"0,5",935.170.878-78,Fernanda Rodrigues,Atividade 5
10/09/2024,3,935.170.878-78,Fernanda Rodrigues,Atividade 4
19/05/2024,2,935.170.878-78,Fernanda Rodrigues,Atividade 2
05/11/2024,"0,5",954.473.266-57,Mateus Oliveira,Atividade 5
19/05/2024,2,954.473.266-57,Mateus Oliveira,Atividade 2
25/05/2024,"1,5",954.473.266-57,Mateus Oliveira,Atividade 3
03/03/2024,"0,5",961.754.619-87,Carlos Costa,Atividade 1
05/11/2024,"0,5",961.754.619-87,Carlos Costa,Atividade 5
10/09/2024,3,961.754.619-87,Carlos Costa,Atividade 4
25/05/2024,"1,5",961.754.619-87,Carlos Costa,Atividade 3
03/03/2024,"0,5",963.886.894-17,Mariana Costa,Atividade 1
05/11/2024,"0,5",963.886.894-17,Mariana Costa,Atividade 5
10/09/2024,3,963.886.894-17,Mariana Costa,Atividade 4
19/05/2024,2,963.886.894-17,Mariana Costa,Atividade 2
25/05/2024,"1,5",963.886.894-17,Mariana Costa,Atividade 3
03/03/2024,"0,5",967.452.718-43,José Almeida,Atividade 1
05/11/2024,"0,5",967.452.718-43,José Almeida,Atividade 5
10/09/2024,3,967.452.718-43,José Almeida,Atividade 4
19/05/2024,2,967.452.718-43,José Almeida,Atividade 2
25/05/2024,"1,5",967.452.718-43,José Almeida,Atividade 3
05/11/2024,"0,5",980.438.172-75,Mateus Rodrigues,Atividade 5
10/09/2024,3,980.438.172-75,Mateus Rodrigues,Atividade 4
