Data Atividade,CH,CPF,Nome,Atividade,ConferenciaCPF,Impactado
2024-09-10,3.0,303.256.482-30,Felipe Pereira,Atividade 4,30325648230,0
2024-03-03,0.5,305.830.419-61,Clara Nascimento,Atividade 1,30583041961,0
2024-05-19,2.0,305.830.419-61,Clara Nascimento,Atividade 2,30583041961,1
2024-05-25,1.5,305.830.419-61,Clara Nascimento,Atividade 3,30583041961,0
2024-05-19,2.0,316.652.873-98,Carlos Pereira,Atividade 2,31665287398,1
2024-11-05,0.5,316.652.873-98,Carlos Pereira,Atividade 5,31665287398,0
2024-03-03,0.5,317.771.611-60,Carlos Pereira,Atividade 1,31777161160,0
2024-05-19,2.0,317.771.611-60,Carlos Pereira,Atividade 2,31777161160,1
2024-05-25,1.5,317.771.611-60,Carlos Pereira,Atividade 3,31777161160,0
2024-09-10,3.0,317.771.611-60,Carlos Pereira,Atividade 4,31777161160,0
2024-03-03,0.5,320.881.444-23,José Pereira,Atividade 1,32088144423,0
2024-05-19,2.0,320.881.444-23,José Pereira,Atividade 2,32088144423,1
2024-05-25,1.5,320.881.444-23,José Pereira,Atividade 3,32088144423,0
2024-09-10,3.0,320.881.444-23,José Pereira,Atividade 4,32088144423,0
2024-11-05,0.5,320.881.444-23,José Pereira,Atividade 5,32088144423,0
2024-03-03,0.5,324.241.621-73,José Santos,Atividade 1,32424162173,0
2024-05-19,2.0,324.241.621-73,José Santos,Atividade 2,32424162173,1
2024-05-25,1.5,324.241.621-73,José Santos,Atividade 3,32424162173,0
2024-09-10,3.0,324.241.621-73,José Santos,Atividade 4,32424162173,0
2024-03-03,0.5,325.107.172-90,Pedro Almeida,Atividade 1,32510717290,0
2024-05-19,2.0,325.107.172-90,Pedro Almeida,Atividade 2,32510717290,1
2024-09-10,3.0,325.107.172-90,Pedro Almeida,Atividade 4,32510717290,0
2024-11-05,0.5,325.107.172-90,Pedro Almeida,Atividade 5,32510717290,0
2024-03-03,0.5,330.165.446-12,Felipe Silva,Atividade 1,33016544612,0
2024-05-19,2.0,330.165.446-12,Felipe Silva,Atividade 2,33016544612,1
2024-03-03,0.5,334.941.132-50,Carlos Silva,Atividade 1,33494113250,0
2024-05-19,2.0,334.941.132-50,Carlos Silva,Atividade 2,33494113250,1
2024-05-25,1.5,334.941.132-50,Carlos Silva,Atividade 3,33494113250,0
2024-09-10,3.0,334.941.132-50,Carlos Silva,Atividade 4,33494113250,0
2024-11-05,0.5,334.941.132-50,Carlos Silva,Atividade 5,33494113250,0
2024-03-03,0.5,345.159.346-82,Mariana Nascimento,Atividade 1,34515934682,0
2024-05-19,2.0,345.159.346-82,Mariana Nascimento,Atividade 2,34515934682,1
2024-05-25,1.5,345.159.346-82,Mariana Nascimento,Atividade 3,34515934682,0
2024-09-10,3.0,345.159.346-82,Mariana Nascimento,Atividade 4,34515934682,0
2024-11-05,0.5,345.159.346-82,Mariana Nascimento,Atividade 5,34515934682,0
2024-03-03,0.5,350.328.242-23,Clara Nascimento,Atividade 1,35032824223,0
2024-05-19,2.0,350.328.242-23,Clara Nascimento,Atividade 2,35032824223,1
2024-05-25,1.5,350.328.242-23,Clara Nascimento,Atividade 3,35032824223,0
2024-09-10,3.0,350.328.242-23,Clara Nascimento,Atividade 4,35032824223,0
2024-11-05,0.5,350.328.242-23,Clara Nascimento,Atividade 5,35032824223,0
2024-03-03,0.5,357.666.981-11,Felipe Oliveira,Atividade 1,35766698111,0
2024-05-25,1.5,357.666.981-11,Felipe Oliveira,Atividade 3,35766698111,1
2024-09-10,3.0,357.666.981-11,Felipe Oliveira,Atividade 4,35766698111,0
2024-11-05,0.5,357.666.981-11,Felipe Oliveira,Atividade 5,35766698111,0
2024-03-03,0.5,384.928.990-10,Mariana Nascimento,Atividade 1,38492899010,0
2024-05-19,2.0,384.928.990-10,Mariana Nascimento,Atividade 2,38492899010,1
2024-05-25,1.5,384.928.990-10,Mariana Nascimento,Atividade 3,38492899010,0
2024-09-10,3.0,384.928.990-10,Mariana Nascimento,Atividade 4,38492899010,0
2024-11-05,0.5,384.928.990-10,Mariana Nascimento,Atividade 5,38492899010,0
2024-05-19,2.0,448.214.400-65,Mateus Nascimento,Atividade 2,44821440065,1
2024-05-25,1.5,448.214.400-65,Mateus Nascimento,Atividade 3,44821440065,0
2024-09-10,3.0,448.214.400-65,Mateus Nascimento,Atividade 4,44821440065,0
2024-11-05,0.5,448.214.400-65,Mateus Nascimento,Atividade 5,44821440065,0
2024-03-03,0.5,463.314.786-44,Pedro Oliveira,Atividade 1,46331478644,0
2024-09-10,3.0,463.314.786-44,Pedro Oliveira,Atividade 4,46331478644,1
2024-05-25,1.5,488.376.755-98,José Oliveira,Atividade 3,48837675598,1
2024-09-10,3.0,488.376.755-98,José Oliveira,Atividade 4,48837675598,0
2024-11-05,0.5,488.376.755-98,José Oliveira,Atividade 5,48837675598,0
2024-03-03,0.5,489.384.564-91,Pedro Silva,Atividade 1,48938456491,0
2024-05-25,1.5,489.384.564-91,Pedro Silva,Atividade 3,48938456491,1
2024-09-10,3.0,489.384.564-91,Pedro Silva,Atividade 4,48938456491,0
2024-11-05,0.5,489.384.564-91,Pedro Silva,Atividade 5,48938456491,0
2024-05-19,2.0,490.710.579-77,Clara Rodrigues,Atividade 2,49071057977,1
2024-05-25,1.5,490.710.579-77,Clara Rodrigues,Atividade 3,49071057977,0
2024-09-10,3.0,490.710.579-77,Clara Rodrigues,Atividade 4,49071057977,0
2024-03-03,0.5,510.374.167-37,Fernanda Almeida,Atividade 1,51037416737,0
2024-05-19,2.0,510.374.167-37,Fernanda Almeida,Atividade 2,51037416737,1
2024-09-10,3.0,510.374.167-37,Fernanda Almeida,Atividade 4,51037416737,0
2024-11-05,0.5,510.374.167-37,Fernanda Almeida,Atividade 5,51037416737,0
2024-03-03,0.5,529.325.559-85,Carlos Almeida,Atividade 1,52932555985,0
2024-05-19,2.0,529.325.559-85,Carlos Almeida,Atividade 2,52932555985,1
2024-05-25,1.5,529.325.559-85,Carlos Almeida,Atividade 3,52932555985,0
2024-09-10,3.0,529.325.559-85,Carlos Almeida,Atividade 4,52932555985,0
2024-11-05,0.5,529.325.559-85,Carlos Almeida,Atividade 5,52932555985,0
2024-03-03,0.5,532.448.384-29,Fernanda Almeida,Atividade 1,53244838429,0
2024-05-19,2.0,532.448.384-29,Fernanda Almeida,Atividade 2,53244838429,1
2024-05-25,1.5,532.448.384-29,Fernanda Almeida,Atividade 3,53244838429,0
2024-09-10,3.0,532.448.384-29,Fernanda Almeida,Atividade 4,53244838429,0
2024-11-05,0.5,532.448.384-29,Fernanda Almeida,Atividade 5,53244838429,0
2024-03-03,0.5,532.710.165-59,Felipe Santos,Atividade 1,53271016559,0
2024-05-19,2.0,532.710.165-59,Felipe Santos,Atividade 2,53271016559,1
2024-05-25,1.5,532.710.165-59,Felipe Santos,Atividade 3,53271016559,0
2024-09-10,3.0,532.710.165-59,Felipe Santos,Atividade 4,53271016559,0
2024-11-05,0.5,532.710.165-59,Felipe Santos,Atividade 5,53271016559,0
2024-03-03,0.5,538.697.508-56,José Almeida,Atividade 1,53869750856,0
2024-05-19,2.0,538.697.508-56,José Almeida,Atividade 2,53869750856,1
2024-05-25,1.5,538.697.508-56,José Almeida,Atividade 3,53869750856,0
2024-09-10,3.0,538.697.508-56,José Almeida,Atividade 4,53869750856,0
2024-03-03,0.5,586.662.269-43,Julia Silva,Atividade 1,58666226943,0
2024-09-10,3.0,586.662.269-43,Julia Silva,Atividade 4,58666226943,1
2024-11-05,0.5,586.662.269-43,Julia Silva,Atividade 5,58666226943,0
2024-05-25,1.5,612.880.282-74,Mateus Costa,Atividade 3,61288028274,1
2024-11-05,0.5,612.880.282-74,Mateus Costa,Atividade 5,61288028274,0
2024-03-03,0.5,629.562.223-41,Felipe Nascimento,Atividade 1,62956222341,0
2024-05-25,1.5,629.562.223-41,Felipe Nascimento,Atividade 3,62956222341,1
2024-11-05,0.5,629.562.223-41,Felipe Nascimento,Atividade 5,62956222341,0
2024-03-03,0.5,640.993.721-64,Julia Pereira,Atividade 1,64099372164,0
2024-05-19,2.0,640.993.721-64,Julia Pereira,Atividade 2,64099372164,1
2024-05-25,1.5,640.993.721-64,Julia Pereira,Atividade 3,64099372164,0
2024-11-05,0.5,640.993.721-64,Julia Pereira,Atividade 5,64099372164,0
2024-03-03,0.5,649.227.487-20,Fernanda Santos,Atividade 1,64922748720,0
2024-05-19,2.0,649.227.487-20,Fernanda Santos,Atividade 2,64922748720,1
2024-05-25,1.5,649.227.487-20,Fernanda Santos,Atividade 3,64922748720,0
2024-09-10,3.0,649.227.487-20,Fernanda Santos,Atividade 4,64922748720,0
2024-11-05,0.5,649.227.487-20,Fernanda Santos,Atividade 5,64922748720,0
2024-03-03,0.5,649.868.373-92,Julia Costa,Atividade 1,64986837392,0
2024-05-19,2.0,649.868.373-92,Julia Costa,Atividade 2,64986837392,1
2024-05-25,1.5,649.868.373-92,Julia Costa,Atividade 3,64986837392,0
2024-09-10,3.0,649.868.373-92,Julia Costa,Atividade 4,64986837392,0
2024-11-05,0.5,649.868.373-92,Julia Costa,Atividade 5,64986837392,0
2024-09-10,3.0,651.369.864-84,Mateus Silva,Atividade 4,65136986484,1
2024-11-05,0.5,651.369.864-84,Mateus Silva,Atividade 5,65136986484,0
2024-03-03,0.5,652.897.643-10,Felipe Almeida,Atividade 1,65289764310,0
2024-05-19,2.0,652.897.643-10,Felipe Almeida,Atividade 2,65289764310,1
2024-03-03,0.5,665.400.949-90,Felipe Silva,Atividade 1,66540094990,0
2024-05-19,2.0,665.400.949-90,Felipe Silva,Atividade 2,66540094990,1
2024-05-25,1.5,665.400.949-90,Felipe Silva,Atividade 3,66540094990,0
2024-09-10,3.0,665.400.949-90,Felipe Silva,Atividade 4,66540094990,0
2024-11-05,0.5,665.400.949-90,Felipe Silva,Atividade 5,66540094990,0
2024-03-03,0.5,670.324.801-51,Mateus Santos,Atividade 1,67032480151,0
2024-05-19,2.0,670.324.801-51,Mateus Santos,Atividade 2,67032480151,1
2024-11-05,0.5,670.324.801-51,Mateus Santos,Atividade 5,67032480151,0
2024-05-19,2.0,680.997.835-50,Clara Pereira,Atividade 2,68099783550,1
2024-05-25,1.5,680.997.835-50,Clara Pereira,Atividade 3,68099783550,0
2024-09-10,3.0,680.997.835-50,Clara Pereira,Atividade 4,68099783550,0
2024-11-05,0.5,680.997.835-50,Clara Pereira,Atividade 5,68099783550,0
2024-05-19,2.0,702.667.335-85,Carlos Costa,Atividade 2,70266733585,1
2024-05-25,1.5,702.667.335-85,Carlos Costa,Atividade 3,70266733585,0
2024-03-03,0.5,704.532.132-13,José Almeida,Atividade 1,70453213213,0
2024-05-19,2.0,704.532.132-13,José Almeida,Atividade 2,70453213213,1
2024-05-25,1.5,704.532.132-13,José Almeida,Atividade 3,70453213213,0
2024-09-10,3.0,704.532.132-13,José Almeida,Atividade 4,70453213213,0
2024-11-05,0.5,704.532.132-13,José Almeida,Atividade 5,70453213213,0
2024-05-19,2.0,713.431.600-12,José Silva,Atividade 2,71343160012,1
2024-09-10,3.0,713.431.600-12,José Silva,Atividade 4,71343160012,0
2024-11-05,0.5,713.431.600-12,José Silva,Atividade 5,71343160012,0
2024-03-03,0.5,716.127.674-35,Mariana Silva,Atividade 1,71612767435,0
2024-05-19,2.0,716.127.674-35,Mariana Silva,Atividade 2,71612767435,1
2024-05-25,1.5,716.127.674-35,Mariana Silva,Atividade 3,71612767435,0
2024-09-10,3.0,716.127.674-35,Mariana Silva,Atividade 4,71612767435,0
2024-11-05,0.5,716.127.674-35,Mariana Silva,Atividade 5,71612767435,0
2024-03-03,0.5,723.750.275-78,Mateus Pereira,Atividade 1,72375027578,0
2024-05-19,2.0,723.750.275-78,Mateus Pereira,Atividade 2,72375027578,1
2024-09-10,3.0,723.750.275-78,Mateus Pereira,Atividade 4,72375027578,0
2024-11-05,0.5,723.750.275-78,Mateus Pereira,Atividade 5,72375027578,0
2024-03-03,0.5,733.982.470-83,Julia Silva,Atividade 1,73398247083,0
2024-05-19,2.0,733.982.470-83,Julia Silva,Atividade 2,73398247083,1
2024-05-25,1.5,733.982.470-83,Julia Silva,Atividade 3,73398247083,0
2024-09-10,3.0,733.982.470-83,Julia Silva,Atividade 4,73398247083,0
2024-11-05,0.5,733.982.470-83,Julia Silva,Atividade 5,73398247083,0
2024-03-03,0.5,754.214.125-45,Pedro Costa,Atividade 1,75421412545,0
2024-05-19,2.0,754.214.125-45,Pedro Costa,Atividade 2,75421412545,1
2024-05-25,1.5,754.214.125-45,Pedro Costa,Atividade 3,75421412545,0
2024-09-10,3.0,754.214.125-45,Pedro Costa,Atividade 4,75421412545,0
2024-11-05,0.5,754.214.125-45,Pedro Costa,Atividade 5,75421412545,0
2024-03-03,0.5,758.569.246-43,Carlos Costa,Atividade 1,75856924643,0
2024-05-19,2.0,758.569.246-43,Carlos Costa,Atividade 2,75856924643,1
2024-05-25,1.5,758.569.246-43,Carlos Costa,Atividade 3,75856924643,0
2024-09-10,3.0,758.569.246-43,Carlos Costa,Atividade 4,75856924643,0
2024-11-05,0.5,758.569.246-43,Carlos Costa,Atividade 5,75856924643,0
2024-03-03,0.5,777.333.891-47,Carlos Silva,Atividade 1,77733389147,0
2024-05-19,2.0,777.333.891-47,Carlos Silva,Atividade 2,77733389147,1
2024-05-25,1.5,777.333.891-47,Carlos Silva,Atividade 3,77733389147,0
2024-09-10,3.0,777.333.891-47,Carlos Silva,Atividade 4,77733389147,0
2024-11-05,0.5,777.333.891-47,Carlos Silva,Atividade 5,77733389147,0
2024-05-19,2.0,787.765.482-66,Julia Pereira,Atividade 2,78776548266,1
2024-05-25,1.5,787.765.482-66,Julia Pereira,Atividade 3,78776548266,0
2024-03-03,0.5,792.858.658-21,Ana Almeida,Atividade 1,79285865821,0
2024-05-19,2.0,792.858.658-21,Ana Almeida,Atividade 2,79285865821,1
2024-05-25,1.5,792.858.658-21,Ana Almeida,Atividade 3,79285865821,0
2024-09-10,3.0,792.858.658-21,Ana Almeida,Atividade 4,79285865821,0
2024-11-05,0.5,792.858.658-21,Ana Almeida,Atividade 5,79285865821,0
2024-03-03,0.5,796.838.217-97,Clara Oliveira,Atividade 1,79683821797,0
2024-05-25,1.5,796.838.217-97,Clara Oliveira,Atividade 3,79683821797,1
2024-09-10,3.0,796.838.217-97,Clara Oliveira,Atividade 4,79683821797,0
2024-05-19,2.0,818.799.763-19,Felipe Santos,Atividade 2,81879976319,1
2024-09-10,3.0,818.799.763-19,Felipe Santos,Atividade 4,81879976319,0
2024-03-03,0.5,833.765.818-79,Clara Silva,Atividade 1,83376581879,0
2024-05-19,2.0,833.765.818-79,Clara Silva,Atividade 2,83376581879,1
2024-05-25,1.5,833.765.818-79,Clara Silva,Atividade 3,83376581879,0
2024-09-10,3.0,833.765.818-79,Clara Silva,Atividade 4,83376581879,0
2024-11-05,0.5,833.765.818-79,Clara Silva,Atividade 5,83376581879,0
2024-03-03,0.5,846.350.267-69,Felipe Costa,Atividade 1,84635026769,0
2024-05-19,2.0,846.350.267-69,Felipe Costa,Atividade 2,84635026769,1
2024-05-25,1.5,846.350.267-69,Felipe Costa,Atividade 3,84635026769,0
2024-11-05,0.5,846.350.267-69,Felipe Costa,Atividade 5,84635026769,0
2024-03-03,0.5,877.925.263-99,Mariana Silva,Atividade 1,87792526399,0
2024-05-19,2.0,877.925.263-99,Mariana Silva,Atividade 2,87792526399,1
2024-05-25,1.5,877.925.263-99,Mariana Silva,Atividade 3,87792526399,0
2024-09-10,3.0,877.925.263-99,Mariana Silva,Atividade 4,87792526399,0
2024-11-05,0.5,877.925.263-99,Mariana Silva,Atividade 5,87792526399,0
2024-03-03,0.5,884.228.231-94,Fernanda Costa,Atividade 1,88422823194,0
2024-09-10,3.0,884.228.231-94,Fernanda Costa,Atividade 4,88422823194,1
2024-03-03,0.5,926.144.847-68,Fernanda Almeida,Atividade 1,92614484768,0
2024-05-19,2.0,926.144.847-68,Fernanda Almeida,Atividade 2,92614484768,1
2024-05-25,1.5,926.144.847-68,Fernanda Almeida,Atividade 3,92614484768,0
2024-09-10,3.0,926.144.847-68,Fernanda Almeida,Atividade 4,92614484768,0
2024-11-05,0.5,926.144.847-68,Fernanda Almeida,Atividade 5,92614484768,0
2024-03-03,0.5,935.170.878-78,Fernanda Rodrigues,Atividade 1,93517087878,0
2024-05-19,2.0,935.170.878-78,Fernanda Rodrigues,Atividade 2,93517087878,1
2024-09-10,3.0,935.170.878-78,Fernanda Rodrigues,Atividade 4,93517087878,0
2024-11-05,0.5,935.170.878-78,Fernanda Rodrigues,Atividade 5,93517087878,0
2024-05-19,2.0,954.473.266-57,Mateus Oliveira,Atividade 2,95447326657,1
2024-05-25,1.5,954.473.266-57,Mateus Oliveira,Atividade 3,95447326657,0
2024-11-05,0.5,954.473.266-57,Mateus Oliveira,Atividade 5,95447326657,0
2024-03-03,0.5,961.754.619-87,Carlos Costa,Atividade 1,96175461987,0
2024-05-25,1.5,961.754.619-87,Carlos Costa,Atividade 3,96175461987,1
2024-09-10,3.0,961.754.619-87,Carlos Costa,Atividade 4,96175461987,0
2024-11-05,0.5,961.754.619-87,Carlos Costa,Atividade 5,96175461987,0
2024-03-03,0.5,963.886.894-17,Mariana Costa,Atividade 1,96388689417,0
2024-05-19,2.0,963.886.894-17,Mariana Costa,Atividade 2,96388689417,1
2024-05-25,1.5,963.886.894-17,Mariana Costa,Atividade 3,96388689417,0
2024-09-10,3.0,963.886.894-17,Mariana Costa,Atividade 4,96388689417,0
2024-11-05,0.5,963.886.894-17,Mariana Costa,Atividade 5,96388689417,0
2024-03-03,0.5,967.452.718-43,José Almeida,Atividade 1,96745271843,0
2024-05-19,2.0,967.452.718-43,José Almeida,Atividade 2,96745271843,1
2024-05-25,1.5,967.452.718-43,José Almeida,Atividade 3,96745271843,0
2024-09-10,3.0,967.452.718-43,José Almeida,Atividade 4,96745271843,0
2024-11-05,0.5,967.452.718-43,José Almeida,Atividade 5,96745271843,0
2024-09-10,3.0,980.438.172-75,Mateus Rodrigues,Atividade 4,98043817275,1
2024-11-05,0.5,980.438.172-75,Mateus Rodrigues,Atividade 5,98043817275,0
